"Area Code","Area Name","Population figures
 (mid-2017)3  rounded to 100","Household figures
 (mid-2017)4  rounded to 100 ","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Stalking
and harassment","Death or serious injury - unlawful driving","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Domestic burglary (households)","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","All other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes against society","Region"
"E23000014","West Midlands","2897300","1127700","87.215248111778436","24.335390533886169","1.7257428719053548E-2","10.54808558165991","8.5807387076878054","5.1779189128648264","1.1389902954575341E-2","2.4215623978575938","2.7981194925073423","40.356497059506715","10.302684945274967","7.6419345853712919","19.633106271137439","2.6607503599036759","12.856784395694893","1.1148298952508593","1.055464340457315","6.4798193354302258","8.5469141473984607","8.8685926187216175","1.5731872020289213","0.78728389816322275","4.8037778582357449","1.2708370508711033","West Midlands Region"
"E23000026","Bedfordshire","664600","262900","83.016852241950048","22.06740896780018","1.0532651218778213E-2","7.272043334336443","9.3921155582305147","5.3701474571170627","2.2569966897381881E-2","2.4240144447788143","1.1992175744808908","38.615708696960581","9.6900391212759551","6.7408967800180557","17.038949974707808","2.9491423412578994","11.619018958772193","1.1646102919049051","1.9500451399337946","5.96749924766777","8.2244959374059583","9.1799578693951247","2.0207643695455912","0.62443575082756553","5.4182967198314778","1.4670478483298224","East"
"E23000023","Cambridgeshire","847200","339200","75.167237009694858","20.089688851220149","1.2984698123475037E-2","5.9977501059433331","10.564822564100144","3.4858012326019798","2.8330250451218262E-2","2.2770438800166675","0.89830502472404572","34.36459379732775","6.4085387374859968","4.2341920153549957","10.574352110890667","2.1743467221310016","7.1817184893838286","1.1981335086661056","4.9908457878229502","5.9505330218579688","8.6348242521108993","8.8425794220864997","1.5640659103276746","0.63034807253960623","4.930644005614111","1.5699680458383451","East"
"E23000028","Essex","1820400","753900","83.006340987233969","28.901124436175103","7.1413700114097119E-3","7.8642963910262651","11.027373969926042","9.9792405867129883","2.3072118498400608E-2","2.1989926273594675","0.91574336992461458","30.522764764919835","6.7436506353896633","4.8385528508074422","11.683650052926616","1.9050977845822217","8.3521068964210201","0.83993498057272697","1.2382036927474993","5.8894329147941171","7.459435644994806","8.7399382216560397","2.0561652271312734","1.1530565887653066","6.713986483034577","1.8045692682677617","East"
"E23000027","Hertfordshire","1180900","480700","72.291084853175533","21.225572301246299","1.1008235853993534E-2","7.3890666201498139","9.5288983126914797","4.2737358734696436","2.2863259081371184E-2","1.9382962976762461","0.72400320424342091","30.348012674713402","5.5667801926271911","4.0501840068962363","9.9496381476989768","1.5165961857309553","7.6710468154867248","1.1685665752700829","1.2227609671666664","7.2882989227171038","7.430559201445635","7.8039924331080313","2.6656866514132034","0.60545297196964432","5.4753271563017067","1.5047411625035776","East"
"E23000024","Norfolk","898400","388600","65.641870457151128","23.381827491401285","6.678613964981801E-3","7.6536916038691434","11.119892251694699","4.5859815892875035","1.5583432584957537E-2","2.8050178652923563","0.52761050323356218","19.855519317890892","3.9270250114092988","2.5389864090205814","5.8691395445177195","1.3880386023887175","3.0921982657865739","0.55655116374848335","1.3824730907512328","4.6204877614399091","6.2767840247553961","7.884103785661015","2.5601353532430235","0.64559934994824064","6.1176103919233293","1.8644463985574193","East"
"E23000025","Suffolk","757000","324500","71.500096436091937","24.737839144598652","9.2472964868199597E-3","7.4467157566005886","10.946156955684312","6.3277928816953724","7.9262541315599667E-3","2.9855557228875869","0.6103215681301174","24.144691127086915","5.4308051224738367","3.5668143592019845","8.319929003272506","1.863990763271852","4.7821733260411792","0.73053642245877692","1.4742832684701537","5.4796836896184571","6.2472092980245133","8.613196156295162","1.7041446382853926","0.5944690598669975","6.7042899529444711","1.4055890659966339","East"
"E23000034","London, City of","7700","3700","+","+","+","+","+","+","+","+","+","+","+","+","4.0983606557377055","+","+","+","+","+","+","+","+","+","+","+","London"
"E23000001","Metropolitan Police","8817300","3477000","94.708533076899428","23.889725560307426","1.587779181198154E-2","8.7218978679187735","9.6297673211681474","5.5166253522743292","5.5572271341935387E-3","2.3221270525023003","3.754303873943035","46.872035318560108","9.1251937799431051","6.7718782078101274","17.172706928817679","2.3533155721329786","12.776518832705575","4.8597384224529216","2.2100752074291732","4.9610160516536324","12.939493024375698","6.4120193976714308","4.0232056195588077","0.83936812286053841","5.4756833319591482","1.1200647995366406","London"
"E23000030","Hampshire","1978800","824800","80.598285112763421","27.955987222488098","7.0750342760142696E-3","10.808125575794085","12.229196746090665","4.8994612361398815","1.2128630187453034E-2","2.8416369810020168","0.63675308484128423","28.244042189440105","5.8187103324305927","3.846797207787187","9.2286801968914443","1.9719131246434054","6.448388382995863","0.64281739993501075","1.9279468402138884","6.5540085375449335","6.8521706963198197","9.3739150561277622","1.8607340145917528","0.8191878972442237","7.5268257504968945","1.3392029165312724","South East"
"E23000032","Kent","1832300","757400","107.56435250173011","42.329876021420631","9.2781997236188029E-3","11.200424395770886","19.645223473626992","11.438382929858994","3.6567022440144696E-2","3.9197664950017792","1.0102322169657885","31.292638785494571","6.4630847721819933","4.660930919982623","11.276115629039563","1.8021538521993701","7.0912734711164189","0.5801603709533405","0.95183413635242309","6.9313609699975771","9.2749250648928196","12.203015742376049","1.6607977505277658","0.72861156653124126","11.524069833188884","2.8953440902233969","South East"
"E23000031","Surrey","1185300","471900","63.058867597891201","19.03113165125734","8.4365332260206299E-4","6.0726166160896504","8.7537468753190062","4.1878950933966408","1.6029413129439198E-2","1.981741654792246","0.37120746194490778","23.127068532490355","4.9868347899007945","3.7382278724497415","9.3903379758746102","1.2486069174510532","5.2922372926827421","0.47666412727016561","1.043599160058752","3.6673609933511679","7.6603721692267328","7.9784294718477105","2.4069429293836859","0.49353719372220684","6.3493349059031265","1.3194737965496266","South East"
"E23000033","Sussex","1692800","735700","67.374304910244589","22.327349245348003","1.7722462689785421E-2","8.0790799915168474","10.013191419728763","4.2090848888240382","8.2704825885665315E-3","2.4539703337789547","0.62205844041146829","23.460405359981618","4.2398038241529985","2.6400561920217021","6.0747345956746903","1.5997476321312976","4.8742679884473166","0.8802156469260094","1.3020102589429023","4.7159473217519015","7.4481603197604871","8.1328381283425308","2.0575779182840872","0.9440165126092368","6.0274095607960225","1.3486794106926705","South East"
"E23000029","Thames Valley","2391700","945100","67.76362882239215","19.3632468340458","7.1079267599226661E-3","6.568978666185","9.2687364949391569","3.5104795927241588","7.9441534375606256E-3","2.2799720365798994","0.66981756878800647","30.505549200232807","5.1356861407135357","3.4996086459148654","8.8558496219599689","1.63607749479867","7.1468113004328311","1.2397060495982768","2.333490543948729","5.9606237582033836","8.6892314073360488","7.9876372247978011","2.1177440611181351","0.59330282778413312","2.8632401442323774","1.383118924813187","South East"
"E23000036","Avon and Somerset","1695000","716600","80.210102030341247","25.044454644463141","8.8496306164180718E-3","7.5540446941744657","10.519260926048947","6.9605294675000264","1.7699261232836142E-3","2.4808464494691993","0.85369436679712984","29.191391551316649","5.9386921189909527","4.006522767739674","9.4764442472220267","1.9321693512512788","6.2572788211820045","0.66785212385235038","2.0177157805433201","6.2909074175243926","8.0189452892236268","9.1369486237644431","1.6967691768545581","0.46136074280259542","10.295070283766355","1.0495661911071832","South West"
"E23000035","Devon and Cornwall","1749100","753200","60.954916139537225","23.400087816792219","1.0862754245621737E-2","8.9543398418382978","8.6313158340079674","5.7801287064860931","2.3440680214236384E-2","2.599628608149581","0.34360606850624553","18.153377516156919","3.2937014320540441","1.4636132036206131","3.3990482664853836","1.8300882284334308","3.2982752233153581","0.48253497806867091","0.52084047988217907","4.4165671867067333","6.1414582161299327","8.3054332066393162","2.2766046003192506","0.53284668194312945","4.0883976637074237","1.2549339773231429","South West"
"E23000039","Dorset","770700","338900","68.898089890993646","23.290847540317817","3.8926207588274911E-3","8.0265840047022845","9.9482411193101239","5.3030470137759851","9.082781770597478E-3","2.4614338598319163","0.48787513510637887","26.467226079521051","5.5404968800644623","3.1348572511090724","7.1282524864796271","2.4056396289553894","4.9462234442167983","0.63968734470065092","1.7646547440017957","5.2498478634053418","8.3263158031320028","8.902423675438472","2.0877422669844776","0.41910550170042649","3.8965133795863185","0.88492245250678292","South West"
"E23000037","Gloucestershire","628100","267200","56.185016373764405","15.03329677030084","1.2736034540125672E-2","8.2354383345087641","3.583601718727861","3.1903766523014809","1.1144030222609963E-2","1.7273246845045442","0.58585758884578087","26.873032879665168","6.6593540601682104","4.7919329957222843","11.266024141480303","1.8674210644459268","6.5017456327341554","0.6288417054187051","1.5601642311653949","5.3698305629804866","6.1530966871982153","7.09397123885","1.5267321404975651","0.39163306210886445","2.2495021006496971","0.70366590834194342","South West"
"E23000038","Wiltshire","716400","299600","59.3001733653822","19.4373023118176","2.7917130788966031E-3","7.9577781313947673","8.1518021903780813","3.3221385638869578","2.7917130788966031E-3","2.2975798639319045","0.47179951033352596","22.43001873239476","4.4974497701024276","2.8908188931974323","6.9128269490099736","1.6066308769049953","4.0410046817028329","0.48436221918856071","1.1529775015842971","6.0021831196276967","6.2520414401889433","7.9689449837103545","1.4572742271840269","0.42573624453173203","3.7827712219048975","1.0287462695733984","South West"
"W15000004","Dyfed-Powys","516800","226800","51.657074739624655","18.92583318174605","9.6757838352484922E-3","5.8809414150640338","7.7715895764715901","5.2636264063751801","0","1.7900200095209713","0.11997971955708131","14.865874284475787","2.9317625020802938","1.9332216102826489","4.4053222875905664","0.99854089179764438","1.7455114038788284","0.15287738459692618","0.30768992596090206","3.7503338145423162","5.9776992534165192","7.8219036524148819","3.5142446889622527","0.34639306130189607","3.1949438223990527","1.0778823192466822","Wales"
"W15000002","Gwent","587700","251100","96.125347303158009","32.277713218192304","6.8056956867202159E-3","9.78829182142535","12.148166800795586","10.329344628519609","5.1042717650401628E-3","2.478974653887839","0.47810012199209523","27.358896660615269","6.1829745313853168","4.2875882826337364","10.037624348469684","1.8953862487515802","5.6793530505680199","0.61931830749153971","0.62782542709993994","6.1812731074636362","8.0681522366068155","15.518687589643772","2.3649792511352752","0.36410471923953158","12.96655170712369","2.3173393813282335","Wales"
"W15000001","North Wales","696300","303300","83.56360335725077","33.375748975992558","8.617173452212027E-3","10.162519891308719","14.449563683784204","8.7521758362966846","2.8723911507373425E-3","4.4392805234645634","0.30734585312889567","23.109823003257294","5.4489260129487391","3.7039483888758036","8.5027191625410463","1.7449776240729358","3.1797370038662387","0.29442009295057764","0.77985419742518858","6.0377661988498952","7.3691194972166532","10.894979634746742","1.9417364178984438","0.47538073544703024","7.2068293971999928","1.8124788161152632","Wales"
