"Area Code","Area Name","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","Other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes","Region","Year"
"E23000038","Wiltshire","44043","13237","5","5661","5653","1711","261","18003","4318","2693","1625","3940","414","911","4058","4362","6209","1041","273","2464","844","South West",2017
"W15000004","Dyfed-Powys","25114","8800","2","3095","3860","1036","43","7437","1310","677","633","942","87","186","1836","3076","4156","1748","149","1151","594","Wales",2017
"W15000002","Gwent","46903","13827","8","4593","5805","1228","248","16270","3690","2386","1304","3286","346","326","3994","4628","8460","1458","190","4066","1156","Wales",2017
"W15000001","North Wales","48022","17540","13","6682","7858","2422","199","15586","3638","2184","1454","2122","301","554","4191","4780","7418","1331","225","2141","1160","Wales",2017
"W15000003","South Wales","105667","31430","12","11809","9995","3156","491","40820","7784","4798","2986","9069","1241","2142","10331","10253","13550","3508","578","9858","2276","Wales",2017
NA,"British Transport Police","57581","10196","5","2790","7259","1793","469","25092","506","2","504","1213","5160","6232","2648","9333","6937","1427","510","10248","909","British Transport Police",2017
"E23000013","Cleveland","65397","20109","15","5858","7474","1755","581","26699","5647","4091","1556","4333","510","993","8867","6349","9370","1298","377","3836","1372","North East",2018
"E23000008","Durham","62393","23908","5","5738","8335","1885","242","18338","4105","2919","1186","3255","285","474","4862","5357","9585","1269","290","5141","1735","North East",2018
"E23000007","Northumbria","160292","47904","11","13352","19982","4952","855","51974","9207","6082","3125","8406","1421","2027","14081","16832","22742","3344","1392","23401","3728","North East",2018
"E23000006","Cheshire","94201","32600","19","10590","12892","3195","416","25298","4638","3380","1258","3652","635","1577","7084","7712","10162","2180","532","17976","1842","North West",2018
"E23000002","Cumbria","35372","13244","4","4860","5472","1593","123","9879","2103","1214","889","1174","197","296","2899","3210","5458","1022","252","3084","717","North West",2018
"E23000005","Greater Manchester","334976","97236","78","28581","45640","9656","7642","122685","30156","21879","8277","31669","7351","4061","17352","32096","35821","4981","3542","45151","8262","North West",2018
"E23000003","Lancashire","162819","62273","21","19920","23040","5131","1097","52858","13228","8563","4665","10078","2000","1698","9476","16378","20238","2342","701","14938","3241","North West",2018
"E23000004","Merseyside","134164","43752","21","14398","17163","3188","1462","44779","11083","8490","2593","10382","2146","1890","8645","10633","16328","8181","1033","12689","2752","North West",2018
"E23000012","Humberside","98311","32747","17","10979","12939","3175","973","35900","8341","5984","2357","5795","702","2246","10356","8460","12809","1374","509","8395","2429","Yorkshire and the Humber",2018
"E23000009","North Yorkshire","43762","13729","5","5469","5478","1854","211","17081","3807","2301","1506","2460","483","1177","4448","4706","5993","1563","309","2210","812","Yorkshire and the Humber",2018
"E23000011","South Yorkshire","142739","43718","19","14291","13108","3911","1669","55060","14044","9867","4177","12607","2086","1163","10834","14326","18045","2490","1377","12632","3837","Yorkshire and the Humber",2018
"E23000010","West Yorkshire","291573","102172","39","29214","42901","8564","3830","101622","26237","19145","7092","24422","4145","2465","18714","25639","31094","6303","2314","28213","7461","Yorkshire and the Humber",2018
"E23000018","Derbyshire","59162","16562","4","9390","4650","2039","640","25753","6229","4462","1767","5465","706","1030","5851","6472","7872","2237","593","2225","1241","East Midlands",2018
"E23000021","Leicestershire","87167","25327","10","6840","12234","2354","1019","36999","8415","5934","2481","9347","1232","2124","6647","9234","10300","1867","740","6638","1923","East Midlands",2018
